price,title,desc,location
"
    ETB 1,950
  ","
    Dangote Ppc Cement
  ","
            Dangote ppc cement for good construction
          ",
"
    ETB 1,500
  ","
    Dangote Cement
  ","
            Ke 5000 kuntal jemro new be coupon
          ",
"
    ETB 1,500
  ","
    ለሲሚንቶ ፈላጊዎች
  ","
            በተመጣጣኝ ዋጋ ያገኛሉ ከ5,000 ኩንታል በላይ ለሚገዙ ልዩ ቅናሽ ያገኛሉ ይደውሉ የሸምቱ የአንዱ ኩንታል ዋጋ
          ",
"
    ETB 1,400
  ","
    Bedrock Cement
  ","
            Bedrock cement any amounts you need from starting 200 tons you have to prepay
          ",
"
    ETB 1,300
  ","
    Messebo Cement
  ","
            Type of the cement is ppc
          ",
